,idaviso,cluster
0,1111556097,109
1,1111949392,3
2,1112145935,161
3,1112146010,79
4,1112211475,1
5,1112211493,31
6,1112211531,47
7,1112211553,46
8,1112211555,38
9,1112211559,216
10,1112211577,36
11,1112342528,44
12,1112342538,148
13,1112342541,202
14,1112342544,52
15,1112342562,101
16,1112342656,142
17,1112408072,57
18,1112408200,209
19,1112408201,55
20,1112408215,9
21,1112408217,70
22,1112408221,21
23,1112408231,183
24,1112408242,157
25,1001455648,49
26,1112211549,136
27,1112211600,1
28,1112211607,2
29,1112277175,163
30,1112342608,180
31,1112408066,5
32,1112211536,57
33,1112277004,209
34,1112342636,16
35,1112277016,1
36,1112408187,24
37,1112146178,87
38,1112146217,4
39,1112211664,28
40,1112211700,213
41,1112211706,193
42,1112211737,163
43,1112211756,75
44,1112277176,213
45,1112277179,71
46,1112277180,213
47,1112277182,220
48,1112277183,57
49,1112277202,117
50,1112277210,157
51,1112277236,126
52,1112277245,47
53,1112277250,2
54,1112277255,88
55,1112277265,100
56,1112277266,209
57,1112277297,100
58,1112342723,133
59,1112342762,27
60,1112342823,37
61,1112408249,219
62,1112408316,118
63,1112408354,0
64,1112408358,72
65,1112408366,2
66,1112277292,6
67,1112342739,155
68,1112342782,90
69,1112342844,32
70,1112408371,191
71,1112342806,54
72,1112211647,92
73,1112277267,8
74,1112342745,4
75,1112277296,118
76,1111490917,225
77,1112146317,4
78,1112211774,21
79,1112211775,39
80,1112211791,106
81,1112211797,122
82,1112211799,208
83,1112211827,102
84,1112211844,8
85,1112211853,24
86,1112277310,71
87,1112277346,0
88,1112277358,106
89,1112277359,15
90,1112277365,86
91,1112277371,70
92,1112277388,42
93,1112277393,41
94,1112342863,92
95,1112342879,29
96,1112342886,4
97,1112342938,26
98,1112342940,149
99,1112408433,208
100,1112408445,209
101,1112408446,84
102,1112277311,63
103,1112277343,32
104,1112277376,6
105,1112342928,117
106,1112211817,49
107,1112277319,100
108,1112211933,197
109,1112211943,55
110,1112211944,195
111,1112211952,124
112,1112211982,212
113,1112277406,109
114,1112277408,123
115,1112277410,9
116,1112277414,92
117,1112277451,54
118,1112277470,17
119,1112277471,193
120,1112277486,135
121,1112277489,34
122,1112277509,110
123,1112342942,26
124,1112342948,120
125,1112342969,101
126,1112342970,64
127,1112342976,95
128,1112342984,92
129,1112343014,106
130,1112343029,34
131,1112343030,205
132,1112343036,195
133,1112343056,121
