,idaviso,cluster
0,1111556097,10
1,1111949392,10
2,1112145935,10
3,1112146010,10
4,1112211475,10
5,1112211493,10
6,1112211531,10
7,1112211553,10
8,1112211555,10
9,1112211559,10
10,1112211577,10
11,1112342528,10
12,1112342538,10
13,1112342541,10
14,1112342544,10
15,1112342562,10
16,1112342656,10
17,1112408072,10
18,1112408200,10
19,1112408201,10
20,1112408215,10
21,1112408217,10
22,1112408221,10
23,1112408231,10
24,1112408242,10
25,1001455648,10
26,1112211549,10
27,1112211600,10
28,1112211607,10
29,1112277175,10
30,1112342608,10
31,1112408066,10
32,1112211536,10
33,1112277004,10
34,1112342636,10
35,1112277016,10
36,1112408187,10
37,1112146178,10
38,1112146217,10
39,1112211664,10
40,1112211700,10
41,1112211706,10
42,1112211737,10
43,1112211756,10
44,1112277176,10
45,1112277179,10
46,1112277180,10
47,1112277182,10
48,1112277183,10
49,1112277202,10
50,1112277210,10
51,1112277236,10
52,1112277245,10
53,1112277250,10
54,1112277255,10
55,1112277265,10
56,1112277266,10
57,1112277297,10
58,1112342723,10
59,1112342762,10
60,1112342823,10
61,1112408249,10
62,1112408316,10
63,1112408354,10
64,1112408358,10
65,1112408366,10
66,1112277292,10
67,1112342739,10
68,1112342782,10
69,1112342844,10
70,1112408371,10
71,1112342806,10
72,1112211647,10
73,1112277267,10
74,1112342745,10
75,1112277296,10
76,1111490917,10
77,1112146317,10
78,1112211774,10
79,1112211775,10
80,1112211791,10
81,1112211797,10
82,1112211799,10
83,1112211827,10
84,1112211844,10
85,1112211853,10
86,1112277310,10
87,1112277346,10
88,1112277358,10
89,1112277359,10
90,1112277365,10
91,1112277371,10
92,1112277388,10
93,1112277393,10
94,1112342863,10
95,1112342879,10
96,1112342886,10
97,1112342938,10
98,1112342940,10
99,1112408433,10
100,1112408445,10
101,1112408446,10
102,1112277311,10
103,1112277343,10
104,1112277376,10
105,1112342928,10
106,1112211817,10
107,1112277319,10
108,1112211933,10
109,1112211943,10
110,1112211944,10
111,1112211952,10
112,1112211982,10
113,1112277406,10
114,1112277408,10
115,1112277410,10
116,1112277414,10
117,1112277451,10
118,1112277470,10
119,1112277471,10
120,1112277486,10
121,1112277489,10
122,1112277509,10
123,1112342942,10
124,1112342948,10
125,1112342969,10
126,1112342970,10
127,1112342976,10
128,1112342984,10
129,1112343014,10
130,1112343029,10
131,1112343030,10
132,1112343036,10
133,1112343056,10
134,1112408477,10
135,1112408486,10
136,1112408552,10
137,1112408569,10
138,1111687668,10
139,1112211900,10
140,1112277415,10
141,1112277435,10
142,1112211914,10
143,1112146414,10
144,1112277419,10
145,1112343050,10
146,1111294620,10
147,1111753347,10
148,1112146470,10
149,1112212031,10
150,1112212058,10
151,1112212106,10
152,1112212108,10
153,1112277631,10
154,1112277648,10
155,1112277658,10
156,1112343089,10
157,1112343161,10
158,1112343170,10
159,1112343194,10
160,1112343198,10
161,1112343199,10
162,1112408596,10
163,1112408607,10
164,1112408651,10
165,1112408665,10
166,1112408679,10
167,1112408727,10
168,1112212030,10
169,1112212047,10
170,1112277642,10
171,1112343064,10
172,1112343065,10
173,1112343163,10
174,1112408635,10
175,1112408647,10
176,1112408653,10
177,1112408670,10
178,1112277633,10
179,1112343189,10
180,1112146522,10
181,1112408640,10
182,1112408646,10
183,1111687883,10
184,1111753392,10
185,1112146592,10
186,1112212217,10
187,1112212224,10
188,1112277674,10
189,1112277683,10
190,1112277687,10
191,1112277722,10
192,1112277749,10
193,1112277757,10
194,1112343215,10
